title,lastrevid
Adolfo Chávez,1248979046
Aji Raden Sayid Mohammad,1243385610
Ana Paula Martins,1243011550
Arístides Villanueva,1227361697
Assaffal P. Alian,1217649866
Atwan Al Atwani,1249037890
Badruddin Umar,1220769997
Basilio Muhate,1246373223
Bayantömöriin Khaisan,1239033698
Calvin Tsiebo,1191261046
Cristóbal de Vergara Azcárate,1245235067
Daniel Shumba,1154573139
Drago Kovačević,1106827460
Dámaso Antonio Larrañaga,1209913980
Garan Fabou Kouyate,1245878638
Hadi Manafi,1224472112
Hashid Abdullah al-Ahmar,1247681421
Heo Jeok,1215575871
Herwart von Hohenburg,1247120291
Humberto Prado,1097454386
Ihor Dolhov,1246746604
Jacques Timmermans,1243748132
James Njiru,1099165153
Jan Suchorzewski,1145089938
Jean Louvet (politician),1242210736
Joseph Hillebrand,1220777049
Kayode Otitoju,1250590195
Kim Nam-kuk,1248055448
Lansana Diané,1063277893
Laurence Fehlmann Rielle,1244066109
Luis Batres Juarros,1231590847
Mahad Said Baawain,1241251598
Maurice Yaméogo,1203177077
Mohamed Ali Nur,1173362453
Nerio Giovanazzi,1175182038
Nestor Ghiro,1223783811
Omar Farah Iltireh,1188245774
Rafael Arcangel Avalos Garcia,1246360477
Skarbimir,1029938740
Spiros Zournatzis,1189128481
Stanislaw Trabalski,1238513656
Stevan Knićanin,1249043914
Sutin Klungsang,1250403525
Taha Genç,1137121904
Tsutomu Yamazaki (politician),1186586190
Umberto Klinger,1162528236
Victor Fotso,1102345166
Viola Motsumi,1233386142
Yahya Kisbi,1244654673
Émile Nau,1244094728
Abdi Hassan Buni,1186251111
Abdilqadir Ali Omar,1249795421
Aghapour Alishahi,1238541366
Aguy Georgias,1233377690
Ahmed Mohammed Yassin,1215886938
Ahmed Taha Abu Ragheef,1243688277
Albert L. De Alwis Seneviratne,1185717129
Ali Chaouch,1101144527
Anne-Marie Essy Raggi,1225716737
Athanas Shundi,1220369492
Bandaru Satyananda Rao,1232500347
Buurmadow,1249135870
Daran Kravanh,1096672232
Georges Kaeckenbeeck,1212308026
Heinrich Sudermann,1226369269
Ingo Appelt,1244447844
"Irineu Evangelista de Sousa, Viscount of Mauá",1249997750
Iván Cepeda,1245233092
Jaafar al-Sadr,1240391256
Jean-Marie Mokoko,1209020061
Johann Nepomuk Hradeczky,1030361090
John Mwakangale,1248614235
Khemais Chammari,1245069775
Lee Baek-yun,1212261224
Liem Koen Hian,1243862673
M. P. Jayasinghe,1165316210
Machel Waikenda,1235702914
Malwinder Singh Kang,1241560614
Mario Arana,1248345511
Mary Shawa,1212663981
Matías Ramón Mella,1246218102
Michalis Paraskevas,1115935468
Mohammad Shtayyeh,1244378815
Nasruddin Mohseni,1136630129
Oliver Ivanović,1250190967
Peter Schieder,1239601735
Péter Fülöp,1147889438
Saleh al-Ogaili,1248161249
Santino Deng Teng,1175191970
Sherzodkhon Kudratkhuja,1214067513
Shigeyo Takeuchi,1247259823
Shinnen Tagaya,1240622803
Thaung Tun (politician),1245373050
Toshiyuki Adachi,1179324035
Uk Vithun,1243811158
Veaceslav Dobîndă,1166993886
Ventsislav Varbanov,1236795881
Vladimir Darie,1164754853
Wacław Olszak,1154954188
Yusuf Ahmed Hagar Dabageed,1188398539
Akbaraly Aitikeev,1015639087
Alexey Pleshakov,1158232091
Ali Abdi Aware,1238577757
Alwata Ichata Sahi,1204711866
Amir al-Dandal,1119046699
Angela Tanoesoedibjo,1249398654
Asimakis Fotilas,1238412906
Bak Jungyang,1215565447
Ben Mang Reng Say,1222143636
Bogoljub Kujundžić,1227405941
Conradin Cramer,1244057987
Daniel Ntongi-Nzinga,1187961349
Esmond Moses,1188817746
Fayez al-Sarraj,1239666220
Gagan Singh Bhandari,1223075157
Geovanny Vicente,1242935342
Hangthong Thammawattana,1233611324
Hans Ferlitsch,1240489075
Hansraj Meena,1240917492
Haroon al-Afghani,1230459615
Hu Fuming,1230177446
Ibrahim Al-Mudhaf,1160127010
Ivan Lexa,1230180928
Jalal ed-Din Amir Chakhmaq Shami,1250754362
James Leo Ferguson,1212687396
Jeanne Mélin,1212292139
Jevrem Nenadović,1233236004
Józef Żmij,1218919971
Kyaw Tun,1246524261
Lucio Victorio Mansilla,1210433646
Malik Ado-Ibrahim,1225494111
Maung Wuntha,1192257938
Mihály Csáky,1245851485
Mohamed Ali Hassan,1158685492
Mohamed El-Amin Ahmed El-Tom,1242269376
Mohammad Siddiq Chakari,1134129082
Moosa AbdulRahman Hassan,1216573194
Mouin AlKazmi,1249037852
Muhammed Magassy,1151065996
Myeongnim Dap-bu,1240719659
Nobuhiro Tanabe,1160011684
Paul Monyonge Kale,1214426931
Pedro Mutinde,1209539718
Pshemakho Kotsev,1250357451
Qasem Saedi,1228961037
Sarah Nambozo Wekomba,1225047761
Saruhan Oluç,1225795488
Tatjana Bobnar,1184611030
Valentine Strasser,1213633579
Vančo Šontevski,1173912923
Abd al-Aziz al-Badri,1244698603
Abdikadir Ore Ahmed,1246061451
Adolf Ciborowski,1218534256
Afrim Gashi,1249210667
Agapito Robleda Castro,1183485100
Alabi Hassan Olajoku,1169612000
Alberto Zarraoa,1243871603
Aleksandur Pulev,1192998630
Alexander Tarasov,1242552236
Alexey Limanzo,1232122152
Alioune Sarr,1131649220
Bashir Ahmad Bezan,1248505877
Caleb Gardiner,1241563135
Daban Shadala,1245547606
Dia Nader de El-Andari,1243220418
Dimitry Vasiliev,1171387268
Doyin Okupe,1247060831
Dževad Galijašević,1239849237
Eric Bougouma,1224650590
