article_title,country,revision_id,population,region,article_quality
Majah Ha Adrif,Afghanistan,1233202991,42.4,SOUTH ASIA,Start
Haroon al-Afghani,Afghanistan,1230459615,42.4,SOUTH ASIA,B
Tayyab Agha,Afghanistan,1225661708,42.4,SOUTH ASIA,Start
Khadija Zahra Ahmadi,Afghanistan,1234741562,42.4,SOUTH ASIA,Stub
Aziza Ahmadyar,Afghanistan,1195651393,42.4,SOUTH ASIA,Start
Muqadasa Ahmadzai,Afghanistan,1235521766,42.4,SOUTH ASIA,Start
Mohammad Sarwar Ahmedzai,Afghanistan,1176429234,42.4,SOUTH ASIA,Start
Amir Muhammad Akhundzada,Afghanistan,1247931713,42.4,SOUTH ASIA,Start
Nasrullah Baryalai Arsalai,Afghanistan,1225385278,42.4,SOUTH ASIA,Start
Abdul Rahim Ayoubi,Afghanistan,1226326055,42.4,SOUTH ASIA,Start
Ismael Balkhi,Afghanistan,1244521219,42.4,SOUTH ASIA,Start
Abdul Baqi Turkistani,Afghanistan,1231655023,42.4,SOUTH ASIA,Stub
Mohammad Ghous Bashiri,Afghanistan,1237694188,42.4,SOUTH ASIA,Start
Jan Baz,Afghanistan,1227635806,42.4,SOUTH ASIA,Stub
Bashir Ahmad Bezan,Afghanistan,1248505877,42.4,SOUTH ASIA,Start
Rafiullah Bidar,Afghanistan,1197443408,42.4,SOUTH ASIA,Stub
Mohammad Siddiq Chakari,Afghanistan,1134129082,42.4,SOUTH ASIA,Stub
Cheragh Ali Cheragh,Afghanistan,1193992206,42.4,SOUTH ASIA,Start
Nasir Ahmad Durrani,Afghanistan,988838315,42.4,SOUTH ASIA,Stub
Muhammad Hashim Esmatullahi,Afghanistan,949986748,42.4,SOUTH ASIA,Stub
Ezatullah (Nangarhar),Afghanistan,1158302291,42.4,SOUTH ASIA,Stub
Aimal Faizi,Afghanistan,1185105938,42.4,SOUTH ASIA,Stub
Gajinder Singh Safri,Afghanistan,1212323536,42.4,SOUTH ASIA,Stub
Sharif Ghalib,Afghanistan,1245967190,42.4,SOUTH ASIA,Start
Hashmat Ghani Ahmadzai,Afghanistan,1207743719,42.4,SOUTH ASIA,C
Abdul Ghani Ghani,Afghanistan,1227026187,42.4,SOUTH ASIA,Stub
Ghulam Ghaus,Afghanistan,1158659195,42.4,SOUTH ASIA,Stub
Ghulam Muhammad Ghobar,Afghanistan,1240993642,42.4,SOUTH ASIA,Stub
Mohammad Gul (Helmand Council),Afghanistan,1136611354,42.4,SOUTH ASIA,Stub
Sayed Yousuf Halim,Afghanistan,1234514565,42.4,SOUTH ASIA,Stub
Rangina Hamidi,Afghanistan,1234743111,42.4,SOUTH ASIA,C
Sayed Zafar Hashemi,Afghanistan,1179137138,42.4,SOUTH ASIA,Start
Qutbuddin Hilal,Afghanistan,1246566795,42.4,SOUTH ASIA,Start
Mahboba Hoqomal,Afghanistan,1243745950,42.4,SOUTH ASIA,Stub
Musa Hotak,Afghanistan,1246566804,42.4,SOUTH ASIA,Start
Mirza Muhammad Ismail,Afghanistan,1235165845,42.4,SOUTH ASIA,C
Sayed Jalal,Afghanistan,1137130537,42.4,SOUTH ASIA,Start
Said Tayeb Jawad,Afghanistan,1248976824,42.4,SOUTH ASIA,C
Sayed Jalal Karim,Afghanistan,1136614743,42.4,SOUTH ASIA,Start
Hafizullah Shabaz Khail,Afghanistan,1238402857,42.4,SOUTH ASIA,Start
Masoud Khalili,Afghanistan,1246566971,42.4,SOUTH ASIA,GA
Mohammad Khan (athlete),Afghanistan,1247727443,42.4,SOUTH ASIA,Stub
Samoud Khan,Afghanistan,1195409073,42.4,SOUTH ASIA,Start
Baran Khan Kudezai,Afghanistan,1176481824,42.4,SOUTH ASIA,Start
Azizullah Lodin,Afghanistan,1247762293,42.4,SOUTH ASIA,Start
Razaq Mamoon,Afghanistan,1227180106,42.4,SOUTH ASIA,Start
Fazel Ahmed Manawi,Afghanistan,1234514379,42.4,SOUTH ASIA,Start
Moeen Marastial,Afghanistan,1246567093,42.4,SOUTH ASIA,Start
Ahmad Wali Massoud,Afghanistan,1221720658,42.4,SOUTH ASIA,Start
Mohammad Daud Miraki,Afghanistan,1227103354,42.4,SOUTH ASIA,C
Abdul Sattar Mirzakwal,Afghanistan,1145249317,42.4,SOUTH ASIA,Stub
Abdul Karim Misaq,Afghanistan,1235405154,42.4,SOUTH ASIA,Stub
Ali Mohammad (politician),Afghanistan,1136630194,42.4,SOUTH ASIA,Stub
Nasruddin Mohseni,Afghanistan,1136630129,42.4,SOUTH ASIA,Start
Davood Moradian,Afghanistan,1239319380,42.4,SOUTH ASIA,Stub
Zalmai Mujadidi,Afghanistan,1223903677,42.4,SOUTH ASIA,Start
Sardar Mohammad Nadir Naeem,Afghanistan,1204109653,42.4,SOUTH ASIA,Stub
Daoud Naji,Afghanistan,1247131367,42.4,SOUTH ASIA,Start
Gholam Rabani Nasher,Afghanistan,1136534788,42.4,SOUTH ASIA,Stub
Ghulam Faroq Nijrabi,Afghanistan,1136614778,42.4,SOUTH ASIA,Stub
Zabih-U-llah Ghazi Noristani,Afghanistan,1136614682,42.4,SOUTH ASIA,Start
Mohammed Tahir Omar,Afghanistan,1185088733,42.4,SOUTH ASIA,Stub
Mohammed Qalamuddin,Afghanistan,1178097642,42.4,SOUTH ASIA,Stub
Ghulam Mohammad Rigi,Afghanistan,1129192917,42.4,SOUTH ASIA,Stub
Ghulam Hassan Safi,Afghanistan,1176507815,42.4,SOUTH ASIA,Stub
Hanifa Safi,Afghanistan,1123824802,42.4,SOUTH ASIA,Stub
Mohammed Zia Salehi,Afghanistan,1225457074,42.4,SOUTH ASIA,Stub
Abdul Majid Samim,Afghanistan,1225425205,42.4,SOUTH ASIA,Stub
Saber Sangar,Afghanistan,1227951669,42.4,SOUTH ASIA,Stub
Sayed Nasim Mihanparast,Afghanistan,1172646418,42.4,SOUTH ASIA,Stub
Suhail Shaheen,Afghanistan,1198363158,42.4,SOUTH ASIA,Start
Fazal Hadi Shinwari,Afghanistan,1242412237,42.4,SOUTH ASIA,GA
Baktash Siawash,Afghanistan,1236603169,42.4,SOUTH ASIA,Stub
Hasan Ali Sultani,Afghanistan,1136614726,42.4,SOUTH ASIA,Stub
Mohammad Hashem Taufiqui,Afghanistan,1233490009,42.4,SOUTH ASIA,Start
Pacha Gul Wafadar,Afghanistan,1227179979,42.4,SOUTH ASIA,Stub
Wahidullah Waissi,Afghanistan,1232389768,42.4,SOUTH ASIA,C
Ahmadullah Wasiq,Afghanistan,1171042170,42.4,SOUTH ASIA,Start
Gul Ahmmad Yama,Afghanistan,1136614561,42.4,SOUTH ASIA,Start
Abdul Salam Zaeef,Afghanistan,1243758857,42.4,SOUTH ASIA,GA
Abdul Zahir (Konar Education Minister),Afghanistan,1126667481,42.4,SOUTH ASIA,Stub
Mohammed Zaman,Afghanistan,1229734414,42.4,SOUTH ASIA,Start
Ziauddin (Afghan militia leader),Afghanistan,1150044800,42.4,SOUTH ASIA,Start
Qari Ziauddin,Afghanistan,1245217124,42.4,SOUTH ASIA,Start
Abdul Ghafor Zori,Afghanistan,1136614520,42.4,SOUTH ASIA,Stub
Ali Pasha of Gusinje,Albania,1244421894,2.7,SOUTHERN EUROPE,GA
Ylli Asllani,Albania,1221605713,2.7,SOUTHERN EUROPE,Start
Azis Tahir Ajdonati,Albania,1192928746,2.7,SOUTHERN EUROPE,Stub
Bislim Bajgora,Albania,1217284690,2.7,SOUTHERN EUROPE,C
Kastriot Berissa,Albania,1244463139,2.7,SOUTHERN EUROPE,Start
Bardhok Biba,Albania,1250227174,2.7,SOUTHERN EUROPE,C
Kostandin Boshnjaku,Albania,1250227994,2.7,SOUTHERN EUROPE,C
Spartak Braho,Albania,1224650124,2.7,SOUTHERN EUROPE,Start
